eventID	samplingPerformedBy	ecoiri:samplingPerformedBy	samplingProtocol	siteCount	siteNestingDescription	verbatimSiteNames	verbatimSiteDescriptions	eventDuration	eventDurationUnit	targetTaxonomicScope	targetLifestageScope	ecoiri:targetTaxonomicScope	excludedLifeStageScope	habitatScope	excludedHabitatScope	inventoryTypes	compilationType	protocolNames	protocolReferences	protocolDescription	isAbundanceReported	isAbsenceReported	hasMaterialSamples	materialSampleTypes	isSamplingEffortReported	samplingEffortValue	samplingEffortUnit	taxonCompletenessReported	isTaxonomicScopeFullyReported	isLifeStageScopeFullyReported	isLeastSpecificTargetCategoryQuantityInclusive	samplingEffortProtocol
BROKE_WEST_RMT_035	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Target	1	sampling station	RMT_035			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Target trawls were not pre-planned and were aimed at acoustically detected aggregations. The net was lowered to the depth of the aggregation, and opened and closed remotely.Towing speed was approximately 2.5 knots (4.5 km h-1).	TRUE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	TRUE	FALSE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_036	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Target	1	sampling station	RMT_036			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Target trawls were not pre-planned and were aimed at acoustically detected aggregations. The net was lowered to the depth of the aggregation, and opened and closed remotely.Towing speed was approximately 2.5 knots (4.5 km h-1).	TRUE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	TRUE	FALSE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_037	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Routine	1	sampling station	RMT_037			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	Pre-planned routine hauls with standard double oblique tow	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Routine hauls consisted of a standard double oblique tow from the surface down to 200 m and back again to the surface. Towing speed was approximately 2.5 knots (4.5 km h-1).	TRUE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	TRUE	TRUE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_038	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Routine	1	sampling station	RMT_038			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	Pre-planned routine hauls with standard double oblique tow	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Routine hauls consisted of a standard double oblique tow from the surface down to 200 m and back again to the surface. Towing speed was approximately 2.5 knots (4.5 km h-1).	TRUE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	TRUE	TRUE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_039	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Routine	1	sampling station	RMT_039			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	Pre-planned routine hauls with standard double oblique tow	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Routine hauls consisted of a standard double oblique tow from the surface down to 200 m and back again to the surface. Towing speed was approximately 2.5 knots (4.5 km h-1).	TRUE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	TRUE	TRUE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_040	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Target	1	sampling station	RMT_040			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Target trawls were not pre-planned and were aimed at acoustically detected aggregations. The net was lowered to the depth of the aggregation, and opened and closed remotely.Towing speed was approximately 2.5 knots (4.5 km h-1).	FALSE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	FALSE	FALSE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_041	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Target	1	sampling station	RMT_041			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Target trawls were not pre-planned and were aimed at acoustically detected aggregations. The net was lowered to the depth of the aggregation, and opened and closed remotely.Towing speed was approximately 2.5 knots (4.5 km h-1).	FALSE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	FALSE	FALSE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_042	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Routine	1	sampling station	RMT_042			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	Pre-planned routine hauls with standard double oblique tow	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Routine hauls consisted of a standard double oblique tow from the surface down to 200 m and back again to the surface. Towing speed was approximately 2.5 knots (4.5 km h-1).	TRUE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	TRUE	FALSE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_043	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Routine	1	sampling station	RMT_043			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	Pre-planned routine hauls with standard double oblique tow	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Routine hauls consisted of a standard double oblique tow from the surface down to 200 m and back again to the surface. Towing speed was approximately 2.5 knots (4.5 km h-1).	TRUE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	TRUE	TRUE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_044	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Routine	1	sampling station	RMT_044			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	Pre-planned routine hauls with standard double oblique tow	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Routine hauls consisted of a standard double oblique tow from the surface down to 200 m and back again to the surface. Towing speed was approximately 2.5 knots (4.5 km h-1).	FALSE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	FALSE	FALSE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_045	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Target	1	sampling station	RMT_045			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Target trawls were not pre-planned and were aimed at acoustically detected aggregations. The net was lowered to the depth of the aggregation, and opened and closed remotely.Towing speed was approximately 2.5 knots (4.5 km h-1).	FALSE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	FALSE	FALSE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_046	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Target	1	sampling station	RMT_046			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Target trawls were not pre-planned and were aimed at acoustically detected aggregations. The net was lowered to the depth of the aggregation, and opened and closed remotely.Towing speed was approximately 2.5 knots (4.5 km h-1).	FALSE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	FALSE	FALSE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
BROKE_WEST_RMT_047	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	RMT_Target	1	sampling station	RMT_047			minutes	Electrona antarctica | Gymnoscophelus braueri | Protomyctophum bolini | Notolepis coatsi | Macrouridae | Artedidraco scottsbergi | Pogonophryne marmorata | Bathydraco | Cygnodraco mawsoni | Gerlachea australis | Gymnodraco acuticeps | Prionodraco evansii | Racovitza glacialis | Chionodraco | Cryodraco antarcticus | Pagetopsis maculata | Pleuragramma antarcticum | Trematomus	all | all | all | all | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile | larvae and juvenile	https://tinyurl.com/humboldt-target-iri	none | none | none | none | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult | adult	pelagic zone	benthic zone	restricted search taxonomic inventory process	surveyOnly	target trawls on acoustically detected aggregations	Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.	Fish were caught using Rectangular Midwater Trawl nets (RMT 8 + 1), consisting of a RMT 1 mounted above a RMT 8 with a mouth area of 1 and 8m2 and a cod end mesh size of 0.33 and 0.85mm, respectively. Target trawls were not pre-planned and were aimed at acoustically detected aggregations. The net was lowered to the depth of the aggregation, and opened and closed remotely.Towing speed was approximately 2.5 knots (4.5 km h-1).	TRUE	FALSE	FALSE		TRUE	4.5	km/h	reportedIncomplete	TRUE	FALSE	FALSE	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.
